Fold,Accuracy,PLA,Precision,Recall,F1-Score
1,0.9063360691070557,0.9224757104211064,0.9588607549667358,0.903578519821167,0.9303991794586182
2,0.8518518805503845,0.8706390309809535,0.8612269163131714,0.9216061234474182,0.8903940916061401
3,0.8800931572914124,0.8513843191473353,0.8966092467308044,0.929147481918335,0.9125884175300598
4,0.8502594232559204,0.8388467529457472,0.9160521626472473,0.8631747961044312,0.8888277411460876
5,0.8718780279159546,0.8597441577703412,0.9781420826911926,0.8487069010734558,0.9088391661643982
